Ref,Common name,Scientific name,Endemic,Red Data Status (BirdLife Int),RDL status (in SA),Region,Cliffs,Forest,Woodland,Grassland,Savanna,Thicket,Fynbos,Karoo,Semi-arid,Namib desert,Wetland,Lagoons,Open coast,Marine,Agricultural
717,Olive Woodpecker,Dendropicos griseocephalus,3,5,LC,Southern Africa,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
435,Green Barbet,Stactolaema olivacea,3,5,LC,Southern Africa,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
436,Red-fronted Tinkerbird,Pogoniulus pusillus,3,5,LC,Southern Africa,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
358,Green Malkoha,Ceuthmochares aereus,3,5,LC,Southern Africa,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4132,Cape Parrot,Poicephalus robustus,1,5,LC,Southern Africa,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
1710,Livingstones Turaco,Tauraco livingstonii,3,5,LC,Southern Africa,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
4133,Knysna Turaco,Tauraco corythaix,1,5,LC,Southern Africa,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
313,Eastern Bronze-naped Pigeon,Columba delegorguei,3,5,LC,Southern Africa,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
320,Blue-spotted Wood-Dove,Turtur afer,3,5,LC,Southern Africa,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
206,Buff-spotted Flufftail,Sarothrura elegans,3,5,LC,Southern Africa,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1
147,Southern Banded Snake-Eagle,Circaetus fasciolatus,3,4,VU,Southern Africa,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
518,Square-tailed Drongo,Dicrurus ludwigii,3,5,LC,Southern Africa,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
680,Blue-mantled Crested Flycatcher,Trochocercus cyanomelas,3,5,LC,Southern Africa,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
551,Sombre Greenbul,Andropadus importunus,3,5,LC,Southern Africa,0,3,1,0,1,0,1,1,0,0,0,0,0,0,1
547,Yellow-streaked Greenbul,Phyllastrephus flavostriatus,3,5,LC,Southern Africa,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
671,Yellow-throated Woodland-Warbler,Phylloscopus ruficapilla,3,5,LC,Southern Africa,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
542,Bush Blackcap,Lioptilus nigricapillus,1,4,NT,Southern Africa,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0
627,Green-backed Camaroptera,Camaroptera brachyura,1,5,LC,Southern Africa,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1
556,Orange Ground-Thrush,Zoothera gurneyi,3,5,NT,Southern Africa,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
558,Spotted Ground-Thrush,Zoothera guttata,3,5,EN,Southern Africa,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
591,White-starred Robin,Pogonocichla stellata,3,5,LC,Southern Africa,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
578,Chorister Robin-Chat,Cossypha dichroa,1,5,LC,Southern Africa,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
740,Black-bellied Starling,Lamprotornis corruscus,3,5,LC,Southern Africa,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
769,Plain-backed Sunbird,Anthreptes reichenowi,3,4,NT,Southern Africa,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
766,Olive Sunbird,Cyanomitra olivacea,3,5,LC,Southern Africa,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
771,Collared Sunbird,Hedydipna collaris,3,5,LC,Southern Africa,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
790,Dark-backed Weaver,Ploceus bicolor,3,5,LC,Southern Africa,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
