system:index,0,1,AREA,Area_km2,Area_m2,BOTTOM,CENTREX,CENTREY,ID,LABEL,LEFT,PENTADE,QDGC,RIGHT,TOP,histogram,.geo
00000000000000000000,13913.847058823505,5.247058823529412,0.0069,11.54,1.154322102E7,-22.166667,29.541667,-22.125,9967,GQ38,29.5,2205_2930,2229BA,29.583333,-22.083333,"{1=5.247058823529412, 0=13913.847058823505}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,30664.25882352948,352.4823529411765,0.0069,25.73,2.572799123E7,-22.166667,29.625,-22.125,9968,GR38,29.583333,2205_2935,2229BA,29.666667,-22.083333,"{1=352.4823529411765, 0=30664.25882352948}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,30407.337254902057,,0.0069,25.22,2.522262869E7,-22.166667,29.708333,-22.125,9969,GS38,29.666667,2205_2940,2229BA,29.75,-22.083333,{0=30407.337254902057},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,13599.254901960812,,0.0069,11.28,1.12776984E7,-22.166667,29.791667,-22.125,9970,GT38,29.75,2205_2945,2229BB,29.833333,-22.083333,{0=13599.254901960812},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,28603.098039215813,1.8862745098039215,0.0069,23.71,2.370728953E7,-22.25,29.041667,-22.208333,10225,GK39,29.0,2210_2900,2229AA,29.083333,-22.166667,"{1=1.8862745098039215, 0=28603.098039215813}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,41585.560784313544,24.0,0.0069,34.49,3.448632899E7,-22.25,29.125,-22.208333,10226,GL39,29.083333,2210_2905,2229AA,29.166667,-22.166667,"{1=24.0, 0=41585.560784313544}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,72707.60392156872,,0.0069,60.28,6.027851698E7,-22.25,29.208333,-22.208333,10227,GM39,29.166667,2210_2910,2229AA,29.25,-22.166667,{0=72707.60392156872},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,66264.95686274525,,0.0069,54.93,5.493452005E7,-22.25,29.291667,-22.208333,10228,GN39,29.25,2210_2915,2229AB,29.333333,-22.166667,{0=66264.95686274525},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,66689.5098039211,11.925490196078432,0.0069,55.29,5.529461572E7,-22.25,29.375,-22.208333,10229,GO39,29.333333,2210_2920,2229AB,29.416667,-22.166667,"{1=11.925490196078432, 0=66689.5098039211}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,90385.11372549084,458.0,0.0069,75.32,7.531940024E7,-22.25,29.458333,-22.208333,10230,GP39,29.416667,2210_2925,2229AB,29.5,-22.166667,"{1=458.0, 0=90385.11372549084}","{""type"":""MultiPoint"",""coordinates"":[]}"
