"","PENTADE","Azonal Vegetation","Savanna","Forests","Grassland","NA","Nama-Karoo","Indian Ocean Coastal Belt","Desert","Succulent Karoo","Fynbos","<Null>","Albany Thicket"
"1","2205_2930",46.233695301196,42.194238349043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2205_2935",64.150382259463,31.0936702749781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2205_2940",9.92103948828896,89.8805968496405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2205_2945",54.1649435707397,45.0170642756051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2210_2900",59.8831223574189,36.1851562906153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2210_2905",40.3224997300267,56.6550441582603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2210_2910",47.6788734398212,50.8402513850506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2210_2915",42.7756104176953,56.8702952421348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2210_2920",22.5275470944647,76.0666712842945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2210_2925",18.1334624902065,81.8665552221167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2210_2930",13.4332539075014,85.2737602801623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2210_2935",1.86408815639224,98.1386887051111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2210_2940",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2210_2945",6.13551508252578,93.4065746418121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2210_2950",6.80106562584414,91.154533027708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2210_2955",NA,98.8686451358771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2210_3000",NA,99.6323323808852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2215_2855",3.38761043786937,86.9956663788799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2215_2900",18.2813403009352,80.1811316807346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2215_2905",0.00568135871060802,99.9967156676712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2215_2910",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2215_2915",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2215_2920",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2215_2925",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2215_2930",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2215_2935",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2215_2940",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2215_2945",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2215_2950",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2215_2955",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2215_3000",NA,98.9026229667095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2215_3005",NA,96.5099992212551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2215_3010",NA,97.4710026013664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2215_3015",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2215_3025",NA,76.6331245703799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2215_3030",NA,70.5206929087476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2215_3035",NA,78.2817823888816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2215_3040",NA,95.4906805282596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2215_3045",NA,93.7576354855437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2215_3050",NA,95.2215338497628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2215_3055",NA,92.8774317876377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2215_3100",10.7254685541155,89.2647683847984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2215_3105",33.0582257153619,NA,13.3044577582591,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2215_3110",86.3750508923177,NA,13.5899276468718,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2220_2855",NA,95.4278292095982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2220_2900",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2220_2905",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2220_2910",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2220_2915",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2220_2920",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2220_2925",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2220_2930",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2220_2935",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2220_2940",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2220_2945",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2220_2950",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2220_2955",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2220_3000",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2220_3005",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2220_3010",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2220_3015",NA,95.8836690948233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2220_3020",NA,95.359263370096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2220_3025",NA,98.6796129028761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2220_3030",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2220_3035",NA,99.6518954734536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2220_3040",NA,99.9999208588378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2220_3045",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2220_3050",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2220_3055",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2220_3100",11.5634007312009,86.8812105272449,1.25838668696101,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2220_3105",22.6891913593097,69.6124961335824,4.336719612626,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2220_3110",37.0585406832409,45.9154922723537,13.1022575122326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2220_3115",24.247963059713,39.7963154034053,24.0248734481372,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2225_2845",30.231388348575,49.800186796569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2225_2850",NA,98.5129800106365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
