Rob6,Common name,Scientific name,Endemic,Red Data Status (BirdLife Int),RDL status (in SA),Region,Cliffs,Forest,Woodland,Grassland,Savanna,Thicket,Fynbos,Karoo,Semi-arid,Namib desert,Wetland,Lagoons,Open coast,Marine,Agricultural
1,Common Ostrich,Struthio camelus,3,5,LC ,Southern Africa,0,0,0,1,2,0,0,3,0,3,0,0,0,0,0
187,Chukar Partridge,Alectoris chukar,3,5,LC,Southern Africa,0,0,0,0,2,0,3,0,0,0,0,0,2,0,2
188,Coqui Francolin,Peliperdix coqui,3,5,LC,Southern Africa,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1
189,Crested Francolin,Dendroperdix sephaena,3,5,LC,Southern Africa,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1
190,Grey-winged Francolin,Scleroptila africanus,1,5,LC,Southern Africa,0,0,0,3,1,0,0,2,0,0,0,0,0,0,1
192,Red-winged Francolin,Scleroptila levaillantii,3,5,LC,Southern Africa,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1
191,Shelleys Francolin,Scleroptila shelleyi,3,5,LC,Southern Africa,0,0,2,3,3,0,0,0,0,0,0,0,0,0,1
193,Orange River Francolin,Scleroptila levaillantoides,3,5,LC,Southern Africa,0,0,0,2,3,0,0,0,0,1,0,0,0,0,1
197,Hartlaubs Spurfowl,Pternistis hartlaubi,2,5,LC,Southern Africa,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
194,Red-billed Spurfowl,Pternistis adspersus,2,5,LC,Southern Africa,0,0,3,0,3,0,0,0,0,0,1,0,0,0,1
195,Cape Spurfowl,Pternistis capensis,1,5,LC,Southern Africa,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1
196,Natal Spurfowl,Pternistis natalensis,2,5,LC,Southern Africa,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1
198,Red-necked Spurfowl,Pternistis afer,3,5,LC,Southern Africa,0,1,2,0,0,0,2,0,0,0,2,0,0,0,1
199,Swainsons Spurfowl,Pternistis swainsonii,2,5,LC,Southern Africa,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1
200,Common Quail,Coturnix coturnix,3,5,LC,Southern Africa,0,0,0,3,2,0,1,1,0,0,0,0,0,0,2
201,Harlequin Quail,Coturnix delegorguei,3,5,LC,Southern Africa,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1
202,Blue Quail,Coturnix adansonii,3,5,LC,Southern Africa,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1
0,Common Peacock,Pavo cristatus,3,5,LC,Southern Africa,0,0,0,0,2,0,3,0,0,0,0,0,2,0,1
204,Crested Guineafowl,Guttera edouardi,3,5,LC,Southern Africa,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
203,Helmeted Guineafowl,Numida meleagris,3,5,LC,Southern Africa,0,0,2,1,2,1,1,1,0,0,0,0,0,0,1
100,Fulvous Duck,Dendrocygna bicolor,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
99,White-faced Duck,Dendrocygna viduata,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
101,White-backed Duck,Thalassornis leuconotus,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
117,Maccoa Duck,Oxyura maccoa,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
102,Egyptian Goose,Alopochen aegyptiaca,3,5,LC,Southern Africa,0,0,0,0,0,0,1,1,0,0,3,0,1,0,2
103,South African Shelduck,Tadorna cana,1,5,LC,Southern Africa,0,0,0,0,0,0,1,2,0,0,3,0,0,0,1
116,Spur-winged Goose,Plectropterus gambensis,3,5,LC,Southern Africa,0,0,0,1,1,0,0,0,0,0,3,0,0,0,1
115,Comb Duck,Sarkidiornis melanotos,3,5,LC,Southern Africa,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1
114,African Pygmy-goose,Nettapus auritus,3,5,LC,Southern Africa,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
106,Cape Teal,Anas capensis,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0
105,African Black Duck,Anas sparsa,3,5,LC,Southern Africa,0,0,0,0,0,0,1 rivers,1 rivers,0,0,3 rivers,0,0,0,1 rivers
0,Mallard,Anas platyrhynchos,3,5,LC,Southern Africa,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
104,Yellow-billed Duck,Anas undulata,3,5,LC,Southern Africa,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1
112,Cape Shoveler,Anas smithii,2,5,LC,Southern Africa,0,0,0,1,0,0,1,0,0,0,3,1,0,0,1
111,Northern Shoveler,Anas clypeata,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
108,Red-billed Teal,Anas erythrorhyncha,3,5,LC,Southern Africa,0,0,0,1,1,0,1,0,0,0,3,0,0,0,1
109,Northern Pintail,Anas acuta,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
110,Garganey,Anas querquedula,3,5,LC,Southern Africa,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
107,Hottentot Teal,Anas hottentota,3,5,LC,Southern Africa,0,0,0,1,1,0,1,0,0,0,3,0,0,0,1
113,Southern Pochard,Netta erythrophthalma,3,5,LC,Southern Africa,0,0,0,1,1,0,1,0,0,0,3,0,0,0,1
205,Kurrichane Buttonquail,Turnix sylvaticus,3,5,LC,Southern Africa,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,Black-rumped Buttonquail,Turnix nanus,3,5,LC,Southern Africa,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1
206,Hottentot Buttonquail,Turnix hottentottus,1,5,LC,Southern Africa,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
475,Scaly-throated Honeyguide,Indicator variegatus,3,5,LC,Southern Africa,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
474,Greater Honeyguide,Indicator indicator,3,5,LC,Southern Africa,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0
476,Lesser Honeyguide,Indicator minor,3,5,LC,Southern Africa,0,1,2,0,3,0,0,0,0,0,0,0,0,0,1
477,Pallid Honeyguide,c,3,5,LC,Southern Africa,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
479,Green-backed Honeybird,Prodotiscus zambesiae,3,5,LC,Southern Africa,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
478,Brown-backed Honeybird,Prodotiscus regulus,3,5,LC,Southern Africa,0,1,3,0,1,1,0,0,0,0,0,0,0,0,1
