"species_id","common_name","taxonomic_name","method","Albany Thicket","Forests","Fynbos","Grassland","Indian Ocean Coastal Belt","Mixed","NA","Nama-Karoo","Other","Savanna","Succulent Karoo"
"1","Ostrich, Common","Struthio camelus","perc_pres",1,0,10,27,0,27,0,5,0,28,3
"1","Ostrich, Common","Struthio camelus","perc_cards",1,0,11,27,0,32,0,3,0,25,1
"10","Albatross, Atlantic Yellow-nosed","Thalassarche chlororhynchos","perc_pres",100,0,0,0,0,0,0,0,0,0,0
"10","Albatross, Atlantic Yellow-nosed","Thalassarche chlororhynchos","perc_cards",100,0,0,0,0,0,0,0,0,0,0
"100","Duck, White-faced Whistling","Dendrocygna viduata","perc_pres",1,0,6,35,1,22,0,1,0,34,0
"100","Duck, White-faced Whistling","Dendrocygna viduata","perc_cards",0,0,5,27,3,26,0,0,0,39,0
"101","Duck, Fulvous Whistling","Dendrocygna bicolor","perc_pres",0,0,2,48,1,24,0,0,0,23,0
"101","Duck, Fulvous Whistling","Dendrocygna bicolor","perc_cards",0,0,4,39,1,31,0,0,0,24,0
"102","Pochard, Southern","Netta erythrophthalma","perc_pres",0,0,8,55,0,19,0,1,0,16,0
"102","Pochard, Southern","Netta erythrophthalma","perc_cards",0,0,14,48,0,24,0,0,0,13,0
"103","Duck, Maccoa","Oxyura maccoa","perc_pres",1,0,14,53,0,19,0,2,0,8,2
"103","Duck, Maccoa","Oxyura maccoa","perc_cards",0,0,33,47,0,15,0,1,0,3,1
"104","Duck, White-backed","Thalassornis leuconotus","perc_pres",1,0,8,46,2,22,0,0,0,21,0
"104","Duck, White-backed","Thalassornis leuconotus","perc_cards",0,0,14,32,2,30,0,0,0,21,0
"105","-","Sagittarius serpentarius","perc_pres",2,0,7,42,0,23,0,6,0,17,1
"105","-","Sagittarius serpentarius","perc_cards",2,0,7,40,0,30,0,4,0,16,1
"106","Vulture, Cape","Gyps coprotheres","perc_pres",0,0,2,38,1,18,0,0,0,41,0
"106","Vulture, Cape","Gyps coprotheres","perc_cards",0,0,2,41,1,16,0,0,0,40,0
"107","Vulture, White-backed","Gyps africanus","perc_pres",0,0,0,4,0,18,0,2,0,76,0
"107","Vulture, White-backed","Gyps africanus","perc_cards",0,0,0,1,0,21,0,0,0,78,0
"108","Vulture, Lappet-faced","Torgos tracheliotos","perc_pres",0,0,0,2,0,18,0,3,0,77,0
"108","Vulture, Lappet-faced","Torgos tracheliotos","perc_cards",0,0,0,1,0,19,0,1,0,80,0
"109","Vulture, White-headed","Trigonoceps occipitalis","perc_pres",0,0,0,0,0,7,0,0,0,93,0
"109","Vulture, White-headed","Trigonoceps occipitalis","perc_cards",0,0,0,0,0,7,0,0,0,93,0
"11","Albatross, Shy","Thalassarche cauta","perc_pres",24,0,41,0,12,18,0,0,0,0,6
"11","Albatross, Shy","Thalassarche cauta","perc_cards",47,0,37,0,5,9,0,0,0,0,2
"110","Vulture, Hooded","Necrosyrtes monachus","perc_pres",0,0,0,0,0,6,0,0,0,94,0
"110","Vulture, Hooded","Necrosyrtes monachus","perc_cards",0,0,0,0,0,7,0,0,0,93,0
"111","Vulture, Egyptian","Neophron percnopterus","perc_pres",0,0,0,0,0,0,0,0,0,100,0
"111","Vulture, Egyptian","Neophron percnopterus","perc_cards",0,0,0,0,0,0,0,0,0,100,0
"112","Vulture, Palm-nut","Gypohierax angolensis","perc_pres",0,0,2,3,24,56,0,1,0,15,0
"112","Vulture, Palm-nut","Gypohierax angolensis","perc_cards",0,0,0,2,18,77,0,0,0,4,0
