species_id,common_name,taxonomic_name,method,biome,biome_dom_perc,presences,absences,perc_pres
107,"Vulture, White-backed",Gyps africanus,perc_pres,Savanna,76,14054,63445,18.1344275410005
108,"Vulture, Lappet-faced",Torgos tracheliotos,perc_pres,Savanna,77,2899,74600,3.7406934283023
109,"Vulture, White-headed",Trigonoceps occipitalis,perc_pres,Savanna,93,1678,75821,2.16518922824811
110,"Vulture, Hooded",Necrosyrtes monachus,perc_pres,Savanna,94,3245,74254,4.18715080194583
111,"Vulture, Egyptian",Neophron percnopterus,perc_pres,Savanna,100,2,77497,0.00258067846036723
115,"Hobby, Eurasian",Falco subbuteo,perc_pres,Savanna,61,786,76713,1.01420663492432
121,"Kestrel, Dickinson's",Falco dickinsoni,perc_pres,Savanna,66,77,77422,0.0993561207241384
128,"Kite, Black",Milvus migrans,perc_pres,Savanna,53,267,77232,0.344520574459025
131,"Hawk, Bat",Macheiramphus alcinus,perc_pres,Savanna,64,164,77335,0.211615633750113
134,"Eagle, Tawny",Aquila rapax,perc_pres,Savanna,73,5599,71900,7.22460934979806
135,"Eagle, Steppe",Aquila nipalensis,perc_pres,Savanna,87,382,77117,0.492909585930141
136,"Eagle, Lesser Spotted",Clanga pomarina,perc_pres,Savanna,85,1099,76400,1.41808281397179
137,"Eagle, Wahlberg's",Hieraaetus wahlbergi,perc_pres,Savanna,71,8800,68699,11.3549852256158
140,"Hawk-Eagle, Ayre's",Hieraaetus ayresii,perc_pres,Savanna,54,120,77379,0.154840707622034
141,"Hawk-eagle, African",Aquila spilogaster,perc_pres,Savanna,86,3940,73559,5.08393656692344
144,"Buzzard, Lizard",Kaupifalco monogrammicus,perc_pres,Savanna,82,2463,75036,3.17810552394224
145,"Eagle, Brown Snake",Circaetus cinereus,perc_pres,Savanna,66,7135,70364,9.2065704073601
146,"Eagle, Black-chested Snake",Circaetus pectoralis,perc_pres,Savanna,57,5201,72298,6.71105433618498
151,-,Terathopius ecaudatus,perc_pres,Savanna,83,12139,65360,15.6634279151989
157,"Sparrowhawk, Ovambo",Accipiter ovampensis,perc_pres,Savanna,55,811,76688,1.04646511567891
158,"Sparrowhawk, Little",Accipiter minullus,perc_pres,Savanna,55,3318,74181,4.28134556574923
161,-,Accipiter badius,perc_pres,Savanna,83,1547,75952,1.99615478909405
162,"Goshawk, Gabar",Micronisus gabar,perc_pres,Savanna,64,5529,71970,7.13428560368521
163,"Goshawk, Dark Chanting",Melierax metabates,perc_pres,Savanna,93,1888,75611,2.43616046658667
173,"Francolin, Coqui",Peliperdix coqui,perc_pres,Savanna,66,4025,73474,5.19361540148905
174,"Francolin, Crested",Dendroperdix sephaena,perc_pres,Savanna,86,29123,48376,37.5785494006374
182,"Spurfowl, Red-billed",Pternistis adspersus,perc_pres,Savanna,80,413,77086,0.532910102065833
183,"Spurfowl, Natal",Pternistis natalensis,perc_pres,Savanna,58,30932,46567,39.9127730680396
190,"Quail, Harlequin",Coturnix delegorguei,perc_pres,Savanna,82,958,76541,1.2361449825159
193,"Guineafowl, Crested",Guttera pucherani,perc_pres,Savanna,58,1840,75659,2.37422418353785
196,"Buttonquail, Common",Turnix sylvaticus,perc_pres,Savanna,64,2033,75466,2.62325965496329
200,"Crake, Striped",Aenigmatolimnas marginalis,perc_pres,Savanna,67,36,77463,0.0464522122866102
224,"Korhaan, Red-crested",Lophotis ruficrista,perc_pres,Savanna,88,13139,64360,16.9537671453825
227,"Bustard, Black-bellied",Lissotis melanogaster,perc_pres,Savanna,61,1327,76172,1.71228015845366
228,"Jacana, African",Actophilornis africanus,perc_pres,Savanna,53,12140,65359,15.6647182544291
244,"Lapwing, Senegal",Vanellus lugubris,perc_pres,Savanna,80,1354,76145,1.74711931766862
277,"Courser, Temminck's",Cursorius temminckii,perc_pres,Savanna,63,1670,75829,2.15486651440664
279,"Courser, Three-banded",Rhinoptilus cinctus,perc_pres,Savanna,59,34,77465,0.0438715338262429
280,"Courser, Bronze-winged",Rhinoptilus chalcopterus,perc_pres,Savanna,83,1210,76289,1.56131046852217
281,"Pratincole, Collared",Glareola pratincola,perc_pres,Savanna,58,797,76702,1.02840036645634
308,"Sandgrouse, Burchell's",Pterocles burchelli,perc_pres,Savanna,83,907,76592,1.17033768177654
309,"Sandgrouse, Yellow-throated",Pterocles gutturalis,perc_pres,Savanna,98,371,77128,0.478715854398121
310,"Sandgrouse, Double-banded",Pterocles bicinctus,perc_pres,Savanna,85,3965,73534,5.11619504767804
315,"Dove, Mourning Collared",Streptopelia decipiens,perc_pres,Savanna,82,1983,75516,2.55874269345411
321,"Dove, Emerald-spotted Wood",Turtur chalcospilos,perc_pres,Savanna,63,28151,49348,36.324339668899
323,"Pigeon, African Green",Treron calvus,perc_pres,Savanna,61,12037,65462,15.5318133137202
327,"Parrot, Meyer's",Poicephalus meyeri,perc_pres,Savanna,87,780,76719,1.00646459954322
328,"Parrot, Brown-headed",Poicephalus cryptoxanthus,perc_pres,Savanna,92,6953,70546,8.97172866746668
339,"Go-away-bird, Grey",Crinifer concolor,perc_pres,Savanna,84,44976,32523,58.0342972167383
340,"Cuckoo, Common",Cuculus canorus,perc_pres,Savanna,61,216,77283,0.278713273719661
341,"Cuckoo, African",Cuculus gularis,perc_pres,Savanna,77,2016,75483,2.60132388805017
345,"Cuckoo, Thick-billed",Pachycoccyx audeberti,perc_pres,Savanna,75,119,77380,0.15355036839185
346,"Cuckoo, Great Spotted",Clamator glandarius,perc_pres,Savanna,75,1677,75822,2.16389888901792
347,"Cuckoo, Levaillant's",Clamator levaillantii,perc_pres,Savanna,86,5077,72422,6.55105227164221
348,"Cuckoo, Jacobin",Clamator jacobinus,perc_pres,Savanna,63,7500,69999,9.67754422637712
363,"Owl, African Scops",Otus senegalensis,perc_pres,Savanna,77,3998,73502,5.15870967741936
364,"Owl, Southern White-faced Scops",Ptilopsis granti,perc_pres,Savanna,79,1470,76030,1.89677419354839
365,"Owlet, Pearl-spotted",Glaucidium perlatum,perc_pres,Savanna,86,11497,66003,14.8348387096774
366,"Owlet, African Barred",Glaucidium capense,perc_pres,Savanna,86,1465,76035,1.89032258064516
369,"Eagle-Owl, Verreaux's",Bubo lacteus,perc_pres,Savanna,79,2263,75237,2.92
370,"Owl, Pel's Fishing",Scotopelia peli,perc_pres,Savanna,59,128,77372,0.165161290322581
371,"Nightjar, European",Caprimulgus europaeus,perc_pres,Savanna,63,492,77008,0.634838709677419
376,"Nightjar, Square-tailed",Caprimulgus fossii,perc_pres,Savanna,79,1507,75993,1.94451612903226
398,"Kingfisher, African Pygmy",Ispidina picta,perc_pres,Savanna,54,1491,76009,1.92387096774194
